pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
Immune System	0.001072961373390558	0.0291934955800502	0.2924418834978364	1.5558191563898816	0	1028	16551
Immune System	0.001072961373390558	0.0291934955800502	0.2924418834978364	1.5558191563898816	0	1028	57257
Immune System	0.001072961373390558	0.0291934955800502	0.2924418834978364	1.5558191563898816	0	1028	56371
Immune System	0.001072961373390558	0.0291934955800502	0.2924418834978364	1.5558191563898816	0	1028	17535
Immune System	0.001072961373390558	0.0291934955800502	0.2924418834978364	1.5558191563898816	0	1028	12703
Immune System	0.001072961373390558	0.0291934955800502	0.2924418834978364	1.5558191563898816	0	1028	380711
Immune System	0.001072961373390558	0.0291934955800502	0.2924418834978364	1.5558191563898816	0	1028	16992
Immune System	0.001072961373390558	0.0291934955800502	0.2924418834978364	1.5558191563898816	0	1028	69537
Immune System	0.001072961373390558	0.0291934955800502	0.2924418834978364	1.5558191563898816	0	1028	18600
Immune System	0.001072961373390558	0.0291934955800502	0.2924418834978364	1.5558191563898816	0	1028	27007
